x y_modified
1.0 0.00126
0.998459 0.001473229344750078
0.993844 0.0020762588357314212
0.986185 0.0029662328136391834
0.975528 0.00398791807399005
0.96194 0.004977568202813674
0.945503 0.005808617617320971
0.92632 0.006461417750549486
0.904508 0.007061270467917876
0.880203 0.007875751551415207
0.853553 0.009249615520573322
0.824724 0.011505784007010939
0.793893 0.014840176683832423
0.761249 0.0192716087269491
0.726995 0.02464959593692881
0.691342 0.03071262147528711
0.654508 0.03716203941084393
0.616723 0.043720246077455296
0.578217 0.05015240429893241
0.53923 0.05626967729702371
0.5 0.061914936621748205
0.46077 0.06694629147664952
0.421783 0.07123013901997441
0.383277 0.0746466574734497
0.345492 0.07709165922445563
0.308658 0.07848283665087855
0.273005 0.07877059005412054
0.238751 0.07793866179836274
0.206107 0.07600222590467702
0.175276 0.07300804958866246
0.146447 0.06902735832126564
0.119797 0.06415194178702932
0.095492 0.05848743531477341
0.07368 0.05215140973652897
0.054497 0.045270834591310476
0.03806 0.03797359920196765
0.024472 0.03039386262089668
0.013815 0.022667302757302124
0.006156 0.014926739794102755
0.001541 0.007311836807396663
0.0 0.0
0.001541 -0.006611872438541657
0.006156 -0.012685776558693905
0.013815 -0.018358608132110016
0.024472 -0.02371623313663819
0.03806 -0.02882334569619635
0.054497 -0.0337151680934333
0.07368 -0.03839947966429142
0.095492 -0.042856917404944156
0.119797 -0.04703456220357433
0.146447 -0.05085433021130749
0.175276 -0.0542185033689681
0.206107 -0.05701578685440861
0.238751 -0.0591340789478187
0.273005 -0.06047110401114911
0.308658 -0.06094866549169781
0.345492 -0.060519305003529554
0.383277 -0.05917378454815631
0.421783 -0.05694489398429126
0.46077 -0.05389844400749625
0.5 -0.05012730473098791
0.53923 -0.045747251537060954
0.578217 -0.04088807638999229
0.616723 -0.03569651297149685
0.654508 -0.030348669653410043
0.691342 -0.025062255605454904
0.726995 -0.02009267621021054
0.761249 -0.015713690752052464
0.793893 -0.012163014412725728
0.824724 -0.009573191693014366
0.853553 -0.007917426404101653
0.880203 -0.007003403830693516
0.904508 -0.006522224316012364
0.92632 -0.006150197825725953
0.945503 -0.005643400095797793
0.96194 -0.004899104878374887
0.975528 -0.003956170720258398
0.986185 -0.002956274761808987
0.993844 -0.002074302231134297
0.998459 -0.0014731074565484529
1.0 -0.00126
