x y_modified
1.0 0.00126
0.998459 0.0014745268680015486
0.993844 0.0020967520521992153
0.986185 0.003067404161086377
0.975528 0.004295022708437981
0.96194 0.005683532116467836
0.945503 0.007153583159345362
0.92632 0.008684825155556835
0.904508 0.010335628722389996
0.880203 0.012243049033360643
0.853553 0.014587462275758632
0.824724 0.017540622460587237
0.793893 0.021206016611645794
0.761249 0.025591738387216692
0.726995 0.030611026571658033
0.691342 0.03611011343724911
0.654508 0.04190500552794799
0.616723 0.04781127780098553
0.578217 0.05365269914808352
0.53923 0.05926582283099296
0.5 0.06449471780887225
0.46077 0.06918559487226104
0.421783 0.0731886391277131
0.383277 0.07636884046260703
0.345492 0.0786101610509419
0.308658 0.07982195850139098
0.273005 0.07994916431248943
0.238751 0.07897193020631318
0.206107 0.07690296934878546
0.175276 0.07378721109064298
0.146447 0.06969439291869006
0.119797 0.06471510235369518
0.095492 0.05895409008975526
0.07368 0.052528402339282194
0.054497 0.045564941784010736
0.03806 0.03819201486878876
0.024472 0.030544728469949555
0.013815 0.022760199805488632
0.006156 0.014973195626024985
0.001541 0.007325892690047637
0.0 0.0
0.001541 -0.006849946042835686
0.006156 -0.013419895803251682
0.013815 -0.019702127929500803
0.024472 -0.02567065834843921
0.03806 -0.03129231890597479
0.054497 -0.03652046054332207
0.07368 -0.041300617954135754
0.095492 -0.04557447323905163
0.119797 -0.049275546421198586
0.146447 -0.052337818342422106
0.175276 -0.054699645657332714
0.206107 -0.056305998888629985
0.238751 -0.05711606440103379
0.273005 -0.057107889240387046
0.308658 -0.05628610607200688
0.345492 -0.054682775147550954
0.383277 -0.05236021497572716
0.421783 -0.04941084624381331
0.46077 -0.04594590481421061
0.5 -0.04208731763155468
0.53923 -0.03796168109753031
0.578217 -0.033688709692752825
0.616723 -0.029380994982398635
0.654508 -0.02515319295891802
0.691342 -0.021133691333871444
0.726995 -0.017464922187801726
0.761249 -0.014296937918293187
0.793893 -0.01175341228957199
0.824724 -0.009886687430744808
0.853553 -0.008642801059557849
0.880203 -0.007860147254760867
0.904508 -0.007305533781783001
0.92632 -0.006749917342369237
0.945503 -0.00603486266303398
0.96194 -0.005114893265346921
0.975528 -0.004053021745319643
0.986185 -0.0029888052498627214
0.993844 -0.0020809667331783918
0.998459 -0.0014735318837027622
1.0 -0.00126
