x y_modified
1.0 0.00126
0.998459 0.0014755957651570906
0.993844 0.0021135867585117107
0.986185 0.0031500588498888987
0.975528 0.004543586850236098
0.96194 0.006246485983167317
0.945503 0.008201969008872247
0.92632 0.010360137490385848
0.904508 0.012682456873567113
0.880203 0.015150305311261398
0.853553 0.01776747009668734
0.824724 0.02056400315544703
0.793893 0.023587654705187668
0.761249 0.026899644713921738
0.726995 0.030560964719832558
0.691342 0.03461695240707092
0.654508 0.03908189127258576
0.616723 0.043926818876804115
0.578217 0.04906560848418184
0.53923 0.0543578461122597
0.5 0.05961545461570506
0.46077 0.0646161372604397
0.421783 0.06912442162097816
0.383277 0.07291873358880986
0.345492 0.07580687358459558
0.308658 0.0776390928029078
0.273005 0.07832027956876948
0.238751 0.07780874509176311
0.206107 0.07611037990661514
0.175276 0.0732743160469469
0.146447 0.06938150515283686
0.119797 0.06453717624725311
0.095492 0.05886141734265632
0.07368 0.05248547437049631
0.054497 0.04554821140862324
0.03806 0.03818722550157219
0.024472 0.030544237877598402
0.013815 0.022760609699629546
0.006156 0.014973453095363664
0.001541 0.007325944635034934
0.0 0.0
0.001541 -0.007313741944020956
0.006156 -0.014874514295632267
0.013815 -0.022425809428220204
0.024472 -0.02975467230792481
0.03806 -0.03666470455122259
0.054497 -0.04297166358598624
0.07368 -0.048513869730063525
0.095492 -0.053161520902643554
0.119797 -0.05681497075249147
0.146447 -0.05941352763267054
0.175276 -0.060936481649704735
0.206107 -0.061399578557949176
0.238751 -0.06085465499525681
0.273005 -0.05938507880134188
0.308658 -0.057103560177477045
0.345492 -0.054144038518667816
0.383277 -0.05065745404654585
0.421783 -0.0468061944051078
0.46077 -0.042750475320808626
0.5 -0.038639115527327864
0.53923 -0.03460362934446844
0.578217 -0.030746104240467403
0.616723 -0.02713730866280497
0.654508 -0.02382316132107829
0.691342 -0.020835398815108857
0.726995 -0.01819580831980302
0.761249 -0.015923575923315652
0.793893 -0.01402465901819911
0.824724 -0.012475283445425802
0.853553 -0.011209451704839566
0.880203 -0.010122236590683117
0.904508 -0.00908800763117058
0.92632 -0.008001753625501675
0.945503 -0.006809606521165331
0.96194 -0.0055278278693397616
0.975528 -0.004234465841967912
0.986185 -0.0030489587761820544
0.993844 -0.002093197059088295
0.998459 -0.0014743077427852849
1.0 -0.00126
