x y_modified
1.0 0.00126
0.998459 0.0014779789218998288
0.993844 0.002151214715241496
0.986185 0.0033357158335033084
0.975528 0.005106637132675177
0.96194 0.007538997233266208
0.945503 0.01065899644979527
0.92632 0.01440769599854372
0.904508 0.018609014420705196
0.880203 0.02297944060491957
0.853553 0.027181348074899532
0.824724 0.030911001802117484
0.793893 0.03397456379157697
0.761249 0.036331849584038636
0.726995 0.03808023757709179
0.691342 0.0393977825713388
0.654508 0.040474927882235535
0.616723 0.0414634141296239
0.578217 0.042444851258342464
0.53923 0.04343655151268944
0.5 0.04440580549931905
0.46077 0.045289934688754495
0.421783 0.04601497630143679
0.383277 0.046513609750194126
0.345492 0.046729392657434116
0.308658 0.0466178571121891
0.273005 0.046152099195955566
0.238751 0.045318385739234565
0.206107 0.044112407376987045
0.175276 0.04253932538081653
0.146447 0.04060819228004313
0.119797 0.038329780217939265
0.095492 0.0357108018303481
0.07368 0.03275314079710526
0.054497 0.029450252788204637
0.03806 0.02577916782281974
0.024472 0.021704588799400758
0.013815 0.01717589983781517
0.006156 0.01212065287741344
0.001541 0.006447847973710573
0.0 0.0
0.001541 -0.006621196629530979
0.006156 -0.012712584072927958
0.013815 -0.018402775273695063
0.024472 -0.02377079547672373
0.03806 -0.028875322101293278
0.054497 -0.03374662255647822
0.07368 -0.03838891557167515
0.095492 -0.04278097446282883
0.119797 -0.0468699678206221
0.146447 -0.05058000940866319
0.175276 -0.05381787680434105
0.206107 -0.05647930212224104
0.238751 -0.05846225761546948
0.273005 -0.05967853814298522
0.308658 -0.0600694980714488
0.345492 -0.05961480525505653
0.383277 -0.05834233346725553
0.421783 -0.05633399427271973
0.46077 -0.053716993057225715
0.5 -0.05065439699026041
0.53923 -0.04733093043576204
0.578217 -0.04392538610529105
0.616723 -0.04058620372405647
0.654508 -0.0374117976607551
0.691342 -0.03443861719440744
0.726995 -0.03163590995425243
0.761249 -0.028926154709648766
0.793893 -0.026212294106896645
0.824724 -0.023413735595080414
0.853553 -0.020498413676295464
0.880203 -0.0174988881590146
0.904508 -0.014500599091925094
0.92632 -0.011620930099838979
0.945503 -0.008975326595903423
0.96194 -0.006656175988649128
0.975528 -0.004722886103191669
0.986185 -0.0032093536177083696
0.993844 -0.002125625254515365
0.998459 -0.0014763589095078801
1.0 -0.00126
