x y_modified
1.0 0.00126
0.998459 0.0014758444376624256
0.993844 0.0021175097053040158
0.986185 0.003169385200509314
0.975528 0.004602058031569572
0.96194 0.006380211096083075
0.945503 0.008454679596771968
0.92632 0.01077240492989549
0.904508 0.013276145290195647
0.880203 0.01591180767482729
0.853553 0.018634756962986544
0.824724 0.0214213771080343
0.793893 0.024269347046443693
0.761249 0.027200141423348576
0.726995 0.0302486828806486
0.691342 0.033448506960787765
0.654508 0.03681618883275667
0.616723 0.0403398589904598
0.578217 0.043966084326308955
0.53923 0.04760375344813632
0.5 0.0511291130778695
0.46077 0.054395950787224825
0.421783 0.05725080019310122
0.383277 0.059553153372769445
0.345492 0.061184828974772926
0.308658 0.062057516182163895
0.273005 0.062122049543879884
0.238751 0.06136550830808338
0.206107 0.05980564857013394
0.175276 0.057487448335115335
0.146447 0.054472966580820674
0.119797 0.050834854051055256
0.095492 0.046647338677169414
0.07368 0.041982951496676905
0.054497 0.03690842864291829
0.03806 0.031476228059374715
0.024472 0.025729656302662943
0.013815 0.019699887987585072
0.006156 0.013401541152488228
0.001541 0.006839961720607406
0.0 0.0
0.001541 -0.006881966065022535
0.006156 -0.013488976279110625
0.013815 -0.01975485744170537
0.024472 -0.025604439505574828
0.03806 -0.030965566160956855
0.054497 -0.03576716110676043
0.07368 -0.039949634873581774
0.095492 -0.043472437451873465
0.119797 -0.04631189094018044
0.146447 -0.04846900410773866
0.175276 -0.04996981985127206
0.206107 -0.050860138122343045
0.238751 -0.051202602910267174
0.273005 -0.0510682650309672
0.308658 -0.05053010762542613
0.345492 -0.049650998252924974
0.383277 -0.04847697591273144
0.421783 -0.04703389044880286
0.46077 -0.04531999646313519
0.5 -0.04331043166647679
0.53923 -0.04096966797035978
0.578217 -0.03826240748091628
0.616723 -0.0351748682596891
0.654508 -0.03173978235662249
0.691342 -0.028056120874534955
0.726995 -0.0242877792038413
0.761249 -0.020648381236309396
0.793893 -0.017354000376090396
0.824724 -0.014563974133571352
0.853553 -0.012332348896691468
0.880203 -0.010594746076197564
0.904508 -0.009194617583123732
0.92632 -0.007951805113619132
0.945503 -0.00672669154625187
0.96194 -0.005465147359983012
0.975528 -0.004201636560325765
0.986185 -0.003036979788054587
0.993844 -0.002090631340247568
0.998459 -0.001474140761970952
1.0 -0.00126
